dish_id,dish_name,cuisine,common_ingredients,allergens,dietary_tags,source_restaurant_count,description,possible_substitutions,preparation_method,ingredient_variations,allergen_confidence,source
D0001,Jeera Rice,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,226,Jeera Rice is a vegetarian North Indian dish commonly associated with cumin and coriander.,,pot-cooked,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=jeera_rice
D0002,Paneer Butter Masala,North Indian,"spices, salt, cooking oil, paneer, butter, cumin, coriander",dairy,"vegetarian, high-protein",217,"Paneer Butter Masala is a vegetarian North Indian dish commonly associated with paneer, butter, cumin, and coriander.","paneer->tofu (introduces soy), butter->plant-based butter (check product allergens)",simmered,"protein variation may use paneer, tofu, or mixed vegetables",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_butter_masala
D0003,Dal Tadka,North Indian,"spices, salt, cooking oil, lentils, onion, tomato, cumin, coriander",none_identified_from_name,"high-protein, vegetarian",159,"Dal Tadka is a vegetarian North Indian dish commonly associated with lentils, onion, tomato, cumin, and coriander.",,simmered,lentil variety and tempering spices may vary,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=dal_tadka
D0004,Dal Fry,North Indian,"spices, salt, cooking oil, lentils, onion, tomato, cumin, coriander",none_identified_from_name,"high-protein, vegetarian",157,"Dal Fry is a vegetarian North Indian dish commonly associated with lentils, onion, tomato, cumin, and coriander.",,simmered,lentil variety and tempering spices may vary,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=dal_fry
D0005,Veg Fried Rice,Indo-Chinese,"spices, salt, cooking oil, rice, vegetables, garlic, spring onion, sauce","possible_soy, possible_gluten",vegetarian,153,"Veg Fried Rice is a vegetarian Indo-Chinese dish commonly associated with rice, vegetables, garlic, spring onion, and sauce.",,stir-fried,"vegetable, spice, and protein additions may vary",medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_fried_rice
D0006,Butter Naan,North Indian,"spices, salt, cooking oil, wheat flour, butter, cumin, coriander","gluten, dairy",vegetarian,137,"Butter Naan is a vegetarian North Indian dish commonly associated with wheat flour, butter, cumin, and coriander.","butter->plant-based butter (check product allergens), wheat flour->gluten-free flour blend",tandoor-baked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=butter_naan
D0007,Palak Paneer,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",132,"Palak Paneer is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),simmered,"protein variation may use paneer, tofu, or mixed vegetables",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=palak_paneer
D0008,Masala Papad,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,130,Masala Papad is a vegetarian North Indian dish commonly associated with cumin and coriander.,,roasted,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=masala_papad
D0009,Paneer Tikka Masala,North Indian,"spices, salt, cooking oil, ginger, garlic, paneer, cumin, coriander",dairy,"grilled, vegetarian, high-protein",128,"Paneer Tikka Masala is a vegetarian North Indian dish commonly associated with ginger, garlic, paneer, cumin, and coriander.",paneer->tofu (introduces soy),grilled or tandoor-roasted,"protein variation may use paneer, tofu, or mixed vegetables, marinade and protein choice may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_tikka_masala
D0010,Roasted Papad,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,128,Roasted Papad is a vegetarian North Indian dish commonly associated with cumin and coriander.,,roasted,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=roasted_papad
